Altium Designer Pick and Place Locations
\\192.168.1.200\Storragepool\Datastorrage\Projects\Startracker\hardware\Startracker\Project Outputs for Startracker_mainboard\Pick Place\A00_Startracker.txt

========================================================================================================================
File Design Information:

Date:       15.11.23
Time:       20:13
Revision:   991bca19e30db43b78275324b6956aca51dd30b2
Variant:    No variations
Units used: mm

Designator Comment                    Layer       Footprint                            Center-X(mm) Center-Y(mm) Rotation Description                                         
V7         APA102C                    BottomLayer V_2020_P6_N_RF                       46.5000      15.0000      90       "RGB LED SPI Interface"                             
C55        "Cap 100n 0603"            TopLayer    C-0603_1608_095_L_RF                 46.5000      15.0000      180      "Cap Cer SMD 100n 50V 10% 0603 X7R"                 
R36        "Res 2k2 0603"             TopLayer    R-0603_1608_050_L_RF                 16.5000      28.0000      0        "Res SMD 2k2 1% 0.1W 0603"                          
R35        "Res 2k2 0603"             TopLayer    R-0603_1608_050_L_RF                 13.0000      28.0000      180      "Res SMD 2k2 1% 0.1W 0603"                          
C54        "Cap 100n 0603"            TopLayer    C-0603_1608_095_L_RF                 20.0000      28.0000      0        "Cap Cer SMD 100n 50V 10% 0603 X7R"                 
V14        SD101CW-E3-08              TopLayer    SOD123_L_RF                          40.2500      16.7500      0        "Diode Schottky  1mA 40 Volt"                       
V13        SD101CW-E3-08              TopLayer    SOD123_L_RF                          40.2500      14.7500      0        "Diode Schottky  1mA 40 Volt"                       
R34        "Res 10k 0603"             TopLayer    R-0603_1608_050_L_RF                 36.5000      16.0000      180      "Res SMD 10k 1% 0.1W 0603"                          
PCB1       PCB_Dummy                  TopLayer    Dummy_PCB-Parameter_SM               -212.3267    -184.1242    90       "<PCB DesignName Revision>"                         
FD3        Fiducial                   TopLayer    Fiducial_1.0mm                       63.5000      1.5000       0        "Fiducial Mark"                                     
FD2        Fiducial                   TopLayer    Fiducial_1.0mm                       2.0000       1.7500       0        "Fiducial Mark"                                     
FD1        Fiducial                   TopLayer    Fiducial_1.0mm                       51.5000      28.5000      0        "Fiducial Mark"                                     
V1         "LED SMD 0603 Red"         TopLayer    LED-0603_1608_Red_L_RF               12.2500      3.5000       270      "LED RED LTST-C190KDKT-10A 0603"                    
R31        "Res 10k 0603"             TopLayer    R-0603_1608_050_L_RF                 7.5000       25.5000      90       "Res SMD 10k 1% 0.1W 0603"                          
R30        "Res 10k 0603"             TopLayer    R-0603_1608_050_L_RF                 7.5000       28.0000      90       "Res SMD 10k 1% 0.1W 0603"                          
R29        "Res 1k 0603"              TopLayer    R-0603_1608_050_L_RF                 11.0000      3.5000       90       "Res SMD 1k 1% 0.1W 0603"                           
C53        "Cap 100n 0603"            TopLayer    C-0603_1608_095_L_RF                 7.7500       18.0000      270      "Cap Cer SMD 100n 50V 10% 0603 X7R"                 
C52        "Cap 100n 0603"            TopLayer    C-0603_1608_095_L_RF                 8.7500       21.2500      180      "Cap Cer SMD 100n 50V 10% 0603 X7R"                 
C51        "Cap 100n 0603"            TopLayer    C-0603_1608_095_L_RF                 10.0000      15.0000      180      "Cap Cer SMD 100n 50V 10% 0603 X7R"                 
TP1        "Programming Interface 5P" TopLayer    TP_ProgrammingInterface_5P_A         1.7500       14.2500      90       "Programming Interface 5P"                          
S4         K2-1808UN-A4SW-04          BottomLayer K2-1808UN-A4SW-04                    41.0000      15.0000      90       "BUTTON tactile 12V 50mA"                           
S3         K2-1808UN-A4SW-04          BottomLayer K2-1808UN-A4SW-04                    52.0000      15.0000      90       "BUTTON tactile 12V 50mA"                           
S2         K2-1808UN-A4SW-04          BottomLayer K2-1808UN-A4SW-04                    46.5000      20.5000      90       "BUTTON tactile 12V 50mA"                           
S1         K2-1808UN-A4SW-04          BottomLayer K2-1808UN-A4SW-04                    46.5000      9.5000       90       "BUTTON tactile 12V 50mA"                           
R28        "Res 10k 0603"             TopLayer    R-0603_1608_050_L_RF                 36.5000      14.5000      180      "Res SMD 10k 1% 0.1W 0603"                          
R27        "Res 10k 0603"             TopLayer    R-0603_1608_050_L_RF                 49.5000      14.5000      0        "Res SMD 10k 1% 0.1W 0603"                          
R26        "Res 10k 0603"             TopLayer    R-0603_1608_050_L_RF                 42.0000      19.7500      270      "Res SMD 10k 1% 0.1W 0603"                          
R25        "Res 10k 0603"             TopLayer    R-0603_1608_050_L_RF                 24.2500      21.5000      180      "Res SMD 10k 1% 0.1W 0603"                          
D7         MPU-9250                   TopLayer    QFN24_N_RF                           10.7500      18.0000      180      "IC IMU 9-Axis Attitude Sensor"                     
R21        OLED_128X64                BottomLayer OLED_0.96                            17.5000      25.9000      180      "OLED Display I2C 128X64 0.96""                     
X6         "CONN HEADER XH 4POS THT"  TopLayer    X-0124X0057-R_M04_P0250_JST_B4B-XH-A 24.7500      17.2500      180      "CONN HEADER  4POS_JST_B4B-XH"                      
R20        "Res 10k 0603"             TopLayer    R-0603_1608_050_L_RF                 62.5000      14.7500      270      "Res SMD 10k 1% 0.1W 0603"                          
C1         "Cap 100n 0603"            TopLayer    C-0603_1608_095_L_RF                 62.5000      11.2500      180      "Cap Cer SMD 100n 50V 10% 0603 X7R"                 
X4         "CONN HEADER XH 4POS THT"  TopLayer    X-0124X0057-R_M04_P0250_JST_B4B-XH-A 36.5000      7.0000       90       "CONN HEADER  4POS_JST_B4B-XH"                      
X3         "CONN HEADER XH 4POS THT"  TopLayer    X-0124X0057-R_M04_P0250_JST_B4B-XH-A 51.2500      7.0000       90       "CONN HEADER  4POS_JST_B4B-XH"                      
R14        "Res 10k 0603"             TopLayer    R-0603_1608_050_L_RF                 4.5000       26.2500      0        "Res SMD 10k 1% 0.1W 0603"                          
R13        "Res 100R 0603"            TopLayer    R-0603_1608_050_L_RF                 17.0000      18.0000      0        "Res SMD 100R 1% 0.1W 0603"                         
R12        "Res 100k 0603"            TopLayer    R-0603_1608_050_L_RF                 9.0000       24.2500      270      "Res SMD 100k 1% 0.1W 0603"                         
R8         "Res 10k 0603"             TopLayer    R-0603_1608_050_L_RF                 62.5000      12.5000      180      "Res SMD 10k 1% 0.1W 0603"                          
R7         "Res 10k 0603"             TopLayer    R-0603_1608_050_L_RF                 9.7500       3.5000       90       "Res SMD 10k 1% 0.1W 0603"                          
R4         "Res 10k 0603"             TopLayer    R-0603_1608_050_L_RF                 17.2500      3.5000       270      "Res SMD 10k 1% 0.1W 0603"                          
G1         16MHz                      TopLayer    G_3225_N_RF                          16.2500      9.5000       270      "Crystal Oscillator 16MHz 10pF ±10ppm LCSC C112972" 
